American Spelling,Canadian Spelling
color,colour
honor,honour
favor,favour
labor,labour
neighbor,neighbour
harbor,harbour
flavor,flavour
behavior,behaviour
glamor,glamour
humor,humour
rumor,rumour
vigor,vigour
vapor,vapour
savor,savour
parlor,parlour
clamor,clamour
rigor,rigour
candor,candour
rancor,rancour
succor,succour
ardor,ardour
splendor,splendour
fervor,fervour
endeavor,endeavour
dolor,dolour
center,centre
theater,theatre
fiber,fibre
meter,metre
liter,litre
caliber,calibre
maneuver,manoeuvre
saber,sabre
specter,spectre
luster,lustre
ocher,ochre
reconnoiter,reconnoitre
goiter,goitre
miter,mitre
niter,nitre
scepter,sceptre
sepulcher,sepulchre
saltpeter,saltpetre
defense,defence
offense,offence
analyze,analyse
paralyze,paralyse
catalyze,catalyse
dialyze,dialyse
hydrolyze,hydrolyse
catalog,catalogue
dialog,dialogue
analog,analogue
monolog,monologue
prolog,prologue
epilog,epilogue
traveling,travelling
modeling,modelling
labeling,labelling
canceled,cancelled
counselor,counsellor
jewelry,jewellery
marvelous,marvellous
leveling,levelling
quarreling,quarrelling
signaling,signalling
tunneling,tunnelling
fueling,fuelling
woolen,woollen
enrollment,enrolment
installment,instalment
anesthesia,anaesthesia
pediatric,paediatric
orthopedic,orthopaedic
fetus,foetus
estrogen,oestrogen
hemorrhage,haemorrhage
leukemia,leukaemia
anemia,anaemia
cesarean,caesarean
homeopathy,homoeopathy
gynecology,gynaecology
gray,grey
check,cheque
donut,doughnut
mold,mould
smolder,smoulder
sulfur,sulphur
acknowledgment,acknowledgement
judgment,judgement
abridgment,abridgement
organize,organize
realize,realize
civilization,civilization
modernization,modernisation
globalization,globalisation
toward,towards
afterward,afterwards
airplane,aeroplane
labor relations,labour relations
color coding,colour coding
honor roll,honour roll
behavior modification,behaviour modification
license,licence
practice,practise
capitalize,capitalise
commercialize,commercialise
advertize,advertise
merchandise,merchandise
strategize,strategise
optimize,optimise
maximize,maximise
minimize,minimise
customize,customise
standardize,standardise
prioritize,prioritise
familiarize,familiarise
summarize,summarise
utilize,utilise
memorize,memorise
categorize,categorise
computerize,computerise
authorize,authorise
amortize,amortise
subsidize,subsidise
recognize,recognise
specialize,specialise
nationalize,nationalise
personalize,personalise
finalize,finalise
equalize,equalise
localize,localise
visualize,visualise
