Original_Text,Is_Variable,Is_Static,Is_discarded,Variable_name,Variable_intention,Variable_category,Static_Text,Content_source
Cover Letter Achievement,TRUE,FALSE,FALSE,cover_letter_achievement,Achievement paragraph,Content,,sentence_bank_cover_letter
Cover Letter Closing,TRUE,FALSE,FALSE,cover_letter_closing,Closing paragraph,Content,,sentence_bank_cover_letter
Cover Letter Company Interest,TRUE,FALSE,FALSE,cover_letter_company_interest,Company interest statement,Content,,sentence_bank_cover_letter
Cover Letter Hook,TRUE,FALSE,FALSE,cover_letter_hook,Opening hook,Content,,sentence_bank_cover_letter
Cover Letter Value Prop,TRUE,FALSE,FALSE,cover_letter_value_prop,Value proposition,Content,,sentence_bank_cover_letter
Current Date,TRUE,FALSE,FALSE,current_date,Document generation date,Metadata,,system_generated
Hiring Manager First Name,TRUE,FALSE,FALSE,hiring_manager_first_name,Hiring manager first name,Job Data,,job_data
User Email,TRUE,FALSE,FALSE,user_email,Email address,User Profile,,user_profile
User First Name,TRUE,FALSE,FALSE,user_first_name,First name,User Profile,,user_profile
User Last Name,TRUE,FALSE,FALSE,user_last_name,Last name,User Profile,,user_profile
User Linkedin,TRUE,FALSE,FALSE,user_linkedin,LinkedIn URL,User Profile,,user_profile
User Phone,TRUE,FALSE,FALSE,user_phone,Phone number,User Profile,,user_profile
