Original_Text,Is_Variable,Is_Static,Is_discarded,Variable_name,Variable_intention,Variable_category,Static_Text,Content_source
Company Address,TRUE,FALSE,FALSE,company_address,Company address,Job Data,,job_data
Company City Prov,TRUE,FALSE,FALSE,company_city_prov,Company city and province,Job Data,,job_data
Cover Letter Achievement,TRUE,FALSE,FALSE,cover_letter_achievement,Achievement paragraph,Content,,sentence_bank_cover_letter
Cover Letter Closing,TRUE,FALSE,FALSE,cover_letter_closing,Closing paragraph,Content,,sentence_bank_cover_letter
Cover Letter Opening,TRUE,FALSE,FALSE,cover_letter_opening,Opening paragraph,Content,,sentence_bank_cover_letter
Cover Letter Skills Alignment,TRUE,FALSE,FALSE,cover_letter_skills_alignment,Skills alignment paragraph,Content,,sentence_bank_cover_letter
Current Date,TRUE,FALSE,FALSE,current_date,Document generation date,Metadata,,system_generated
Hiring Manager Name,TRUE,FALSE,FALSE,hiring_manager_name,Hiring manager full name,Job Data,,job_data
Hiring Manager Title,TRUE,FALSE,FALSE,hiring_manager_title,Hiring manager title,Job Data,,job_data
Professional Title,TRUE,FALSE,FALSE,professional_title,Professional title,User Profile,,user_profile
User Email,TRUE,FALSE,FALSE,user_email,Email address,User Profile,,user_profile
User First Name,TRUE,FALSE,FALSE,user_first_name,First name,User Profile,,user_profile
User Last Name,TRUE,FALSE,FALSE,user_last_name,Last name,User Profile,,user_profile
User Linkedin,TRUE,FALSE,FALSE,user_linkedin,LinkedIn URL,User Profile,,user_profile
User Phone,TRUE,FALSE,FALSE,user_phone,Phone number,User Profile,,user_profile
