Original_Text,Is_Variable,Is_Static,Is_discarded,Variable_name,Variable_intention,Variable_category,Static_Text,Content_source
Certifications List,TRUE,FALSE,FALSE,certifications_list,Professional certifications,Certifications,,user_certifications
Edu 1 Concentration,TRUE,FALSE,FALSE,edu_1_concentration,Field of study,Education,,user_education
Edu 1 Degree,TRUE,FALSE,FALSE,edu_1_degree,Degree type,Education,,user_education
Edu 1 Grad Date,TRUE,FALSE,FALSE,edu_1_grad_date,Graduation date,Education,,user_education
Edu 1 Location,TRUE,FALSE,FALSE,edu_1_location,Institution location,Education,,user_education
Edu 1 Name,TRUE,FALSE,FALSE,edu_1_name,Educational institution name,Education,,user_education
Executive Summary,TRUE,FALSE,FALSE,executive_summary,Executive summary paragraph,Profile,,user_profile
Executive Title,TRUE,FALSE,FALSE,executive_title,Executive title,Profile,,user_profile
Leadership Competency 1,TRUE,FALSE,FALSE,leadership_competency_1,Leadership competency 1,Skills,,user_skills
Leadership Competency 2,TRUE,FALSE,FALSE,leadership_competency_2,Leadership competency 2,Skills,,user_skills
Leadership Competency 3,TRUE,FALSE,FALSE,leadership_competency_3,Leadership competency 3,Skills,,user_skills
Leadership Competency 4,TRUE,FALSE,FALSE,leadership_competency_4,Leadership competency 4,Skills,,user_skills
User City Prov,TRUE,FALSE,FALSE,user_city_prov,City and province,User Profile,,user_profile
User Email,TRUE,FALSE,FALSE,user_email,Email address,User Profile,,user_profile
User First Name,TRUE,FALSE,FALSE,user_first_name,First name,User Profile,,user_profile
User Last Name,TRUE,FALSE,FALSE,user_last_name,Last name,User Profile,,user_profile
User Linkedin,TRUE,FALSE,FALSE,user_linkedin,LinkedIn URL,User Profile,,user_profile
User Phone,TRUE,FALSE,FALSE,user_phone,Phone number,User Profile,,user_profile
Volunteer 1 Dates,TRUE,FALSE,FALSE,volunteer_1_dates,Volunteer dates,Volunteer,,user_volunteer
Volunteer 1 Name,TRUE,FALSE,FALSE,volunteer_1_name,Volunteer organization,Volunteer,,user_volunteer
Volunteer 1 Position,TRUE,FALSE,FALSE,volunteer_1_position,Volunteer position,Volunteer,,user_volunteer
Work Experience 1 Context,TRUE,FALSE,FALSE,work_experience_1_context,Company context,Work Experience,,user_work_experience
Work Experience 1 Dates,TRUE,FALSE,FALSE,work_experience_1_dates,Employment dates,Work Experience,,user_work_experience
Work Experience 1 Location,TRUE,FALSE,FALSE,work_experience_1_location,Job location,Work Experience,,user_work_experience
Work Experience 1 Name,TRUE,FALSE,FALSE,work_experience_1_name,Company name,Work Experience,,user_work_experience
Work Experience 1 Position,TRUE,FALSE,FALSE,work_experience_1_position,Job position/title,Work Experience,,user_work_experience
Work Experience 1 Skill1,TRUE,FALSE,FALSE,work_experience_1_skill1,Achievement 1,Work Experience,,sentence_bank_resume
Work Experience 1 Skill2,TRUE,FALSE,FALSE,work_experience_1_skill2,Achievement 2,Work Experience,,sentence_bank_resume
Work Experience 1 Skill3,TRUE,FALSE,FALSE,work_experience_1_skill3,Achievement 3,Work Experience,,sentence_bank_resume
Work Experience 1 Skill4,TRUE,FALSE,FALSE,work_experience_1_skill4,Achievement 4,Work Experience,,sentence_bank_resume
Work Experience 1 Skill5,TRUE,FALSE,FALSE,work_experience_1_skill5,Achievement 5,Work Experience,,sentence_bank_resume
Work Experience 2 Dates,TRUE,FALSE,FALSE,work_experience_2_dates,Job 2 employment dates,Work Experience,,user_work_experience
Work Experience 2 Location,TRUE,FALSE,FALSE,work_experience_2_location,Job 2 location,Work Experience,,user_work_experience
Work Experience 2 Name,TRUE,FALSE,FALSE,work_experience_2_name,Job 2 company name,Work Experience,,user_work_experience
Work Experience 2 Position,TRUE,FALSE,FALSE,work_experience_2_position,Job 2 position/title,Work Experience,,user_work_experience
Work Experience 2 Skill1,TRUE,FALSE,FALSE,work_experience_2_skill1,Job 2 achievement 1,Work Experience,,sentence_bank_resume
Work Experience 2 Skill2,TRUE,FALSE,FALSE,work_experience_2_skill2,Job 2 achievement 2,Work Experience,,sentence_bank_resume
Work Experience 2 Skill3,TRUE,FALSE,FALSE,work_experience_2_skill3,Job 2 achievement 3,Work Experience,,sentence_bank_resume
