Original_Text,Is_Variable,Is_Static,Is_discarded,Variable_name,Variable_intention,Variable_category,Static_Text,Content_source
Certifications List,TRUE,FALSE,FALSE,certifications_list,Professional certifications,Certifications,,user_certifications
Edu 1 Concentration,TRUE,FALSE,FALSE,edu_1_concentration,Field of study,Education,,user_education
Edu 1 Degree,TRUE,FALSE,FALSE,edu_1_degree,Degree type,Education,,user_education
Edu 1 Grad Date,TRUE,FALSE,FALSE,edu_1_grad_date,Graduation date,Education,,user_education
Edu 1 Name,TRUE,FALSE,FALSE,edu_1_name,Educational institution name,Education,,user_education
Professional Summary,TRUE,FALSE,FALSE,professional_summary,Professional summary paragraph,Profile,,user_profile
Tech Specialty,TRUE,FALSE,FALSE,tech_specialty,Technology specialty,Profile,,user_profile
Technical Summary,TRUE,FALSE,FALSE,technical_summary,Technical skills list,Skills,,user_skills
User City Prov,TRUE,FALSE,FALSE,user_city_prov,City and province,User Profile,,user_profile
User Email,TRUE,FALSE,FALSE,user_email,Email address,User Profile,,user_profile
User First Name,TRUE,FALSE,FALSE,user_first_name,First name,User Profile,,user_profile
User Github,TRUE,FALSE,FALSE,user_github,GitHub URL,User Profile,,user_profile
User Last Name,TRUE,FALSE,FALSE,user_last_name,Last name,User Profile,,user_profile
User Linkedin,TRUE,FALSE,FALSE,user_linkedin,LinkedIn URL,User Profile,,user_profile
User Phone,TRUE,FALSE,FALSE,user_phone,Phone number,User Profile,,user_profile
User Portfolio,TRUE,FALSE,FALSE,user_portfolio,Portfolio URL,User Profile,,user_profile
Work Experience 1 Dates,TRUE,FALSE,FALSE,work_experience_1_dates,Employment dates,Work Experience,,user_work_experience
Work Experience 1 Name,TRUE,FALSE,FALSE,work_experience_1_name,Company name,Work Experience,,user_work_experience
Work Experience 1 Position,TRUE,FALSE,FALSE,work_experience_1_position,Job position/title,Work Experience,,user_work_experience
Work Experience 1 Skill1,TRUE,FALSE,FALSE,work_experience_1_skill1,Achievement 1,Work Experience,,sentence_bank_resume
Work Experience 1 Skill2,TRUE,FALSE,FALSE,work_experience_1_skill2,Achievement 2,Work Experience,,sentence_bank_resume
Work Experience 1 Skill3,TRUE,FALSE,FALSE,work_experience_1_skill3,Achievement 3,Work Experience,,sentence_bank_resume
Work Experience 1 Skill4,TRUE,FALSE,FALSE,work_experience_1_skill4,Achievement 4,Work Experience,,sentence_bank_resume
Work Experience 1 Tech Stack,TRUE,FALSE,FALSE,work_experience_1_tech_stack,Technology stack,Work Experience,,user_work_experience
Work Experience 2 Dates,TRUE,FALSE,FALSE,work_experience_2_dates,Job 2 employment dates,Work Experience,,user_work_experience
Work Experience 2 Name,TRUE,FALSE,FALSE,work_experience_2_name,Job 2 company name,Work Experience,,user_work_experience
Work Experience 2 Position,TRUE,FALSE,FALSE,work_experience_2_position,Job 2 position/title,Work Experience,,user_work_experience
Work Experience 2 Skill1,TRUE,FALSE,FALSE,work_experience_2_skill1,Job 2 achievement 1,Work Experience,,sentence_bank_resume
Work Experience 2 Skill2,TRUE,FALSE,FALSE,work_experience_2_skill2,Job 2 achievement 2,Work Experience,,sentence_bank_resume
